Season,Division,Team,No,Player,Role,Born,Height,Born Place,Nat. Sport.,Note1,Note2
2020/2021,A1,Allianz Milano,2,STAFORINI Matteo,Libero,2003,192,BG,ITA,-,-
2020/2021,A1,Allianz Milano,3,BASIC Luka,Spiker,1995,201,FRA,FRA,-,-
2020/2021,A1,Allianz Milano,4,KOZAMERNIK Jan,Middleblocker,1995,204,SLO,SLO,-,-
2020/2021,A1,Allianz Milano,5,DALDELLO Nicola,Setter,1983,185,TV,ITA,-,-
2020/2021,A1,Allianz Milano,6,SBERTOLI Riccardo,Setter,1998,190,MI,ITA,-,-
2020/2021,A1,Allianz Milano,7,MAAR Stephen Timothy,Spiker,1994,201,CAN,CAN,-,-
2020/2021,A1,Allianz Milano,8,WEBER Luan,Spiker,1991,202,BRA,BRA,-,-
2020/2021,A1,Allianz Milano,9,PATRY Jean,Spiker,1996,208,FRA,FRA,-,-
2020/2021,A1,Allianz Milano,10,MESCHIARI Matteo,Spiker,2002,201,MO,ITA,-,-
2020/2021,A1,Allianz Milano,11,PIANO Matteo,Middleblocker,1990,209,AT,ITA,-,-
2020/2021,A1,Allianz Milano,12,MOSCA Leandro,Middleblocker,2000,209,MC,ITA,-,-
2020/2021,A1,Allianz Milano,14,ISHIKAWA Yuki,Spiker,1995,192,JPN,JPN,-,-
2020/2021,A1,Allianz Milano,17,URNAUT Tine,Spiker,1988,201,SLO,SLO,from 01/12/2020,-
2020/2021,A1,Allianz Milano,18,PESARESI Nicola,Libero,1991,190,AN,ITA,-,-
2020/2021,A1,Consar Ravenna,1,MENGOZZI Stefano,Middleblocker,1985,202,RA,ITA,-,-
2020/2021,A1,Consar Ravenna,2,GIULIANI Ludovico,Libero,1998,182,MC,ITA,-,-
2020/2021,A1,Consar Ravenna,4,LOEPPKY Eric,Spiker,1998,197,CAN,CAN,until 16/03/2021,-
2020/2021,A1,Consar Ravenna,5,REDWITZ Rafael,Setter,1980,190,BRA,BRA,-,-
2020/2021,A1,Consar Ravenna,6,PIRAZZOLI Matteo,Spiker,2000,188,RA,ITA,-,-
2020/2021,A1,Consar Ravenna,7,STEFANI Tommaso,Spiker,2001,210,FI,ITA,-,-
2020/2021,A1,Consar Ravenna,8,ARASOMWAN Martins,Middleblocker,1995,200,NGR,ITA,-,-
2020/2021,A1,Consar Ravenna,9,RECINE Francesco,Spiker,1999,185,RA,ITA,-,-
2020/2021,A1,Consar Ravenna,10,ZONCA Paolo,Spiker,1997,196,GO,ITA,-,-
2020/2021,A1,Consar Ravenna,11,GROZDANOV Aleks,Middleblocker,1998,205,BUL,BUL,-,-
2020/2021,A1,Consar Ravenna,12,BATAK Aleksa,Setter,2000,195,SRB,SRB,-,-
2020/2021,A1,Consar Ravenna,13,KOVACIC Jani,Libero,1992,186,SLO,SLO,-,-
2020/2021,A1,Consar Ravenna,14,PINALI Giulio,Spiker,1997,198,BO,ITA,-,-
2020/2021,A1,Consar Ravenna,17,KOPPERS Brandon,Spiker,1995,202,CAN,CAN,-,-
2020/2021,A1,Cucine Lube Civitanova,2,KOVAR Jiri,Spiker,1989,202,CZE,ITA,-,-
2020/2021,A1,Cucine Lube Civitanova,4,MARCHISIO Andrea,Libero,1990,186,CN,ITA,-,-
2020/2021,A1,Cucine Lube Civitanova,5,JUANTORENA Osmany,Spiker,1985,200,CUB,ITA,-,-
2020/2021,A1,Cucine Lube Civitanova,7,BALASO Fabio,Libero,1995,178,PD,ITA,-,-
2020/2021,A1,Cucine Lube Civitanova,9,LEAL Yoandy,Spiker,1988,201,CUB,BRA,-,-
2020/2021,A1,Cucine Lube Civitanova,10,LARIZZA Jacopo,Middleblocker,1998,204,MC,ITA,-,-
2020/2021,A1,Cucine Lube Civitanova,11,RYCHLICKI Kamil,Spiker,1996,204,LUX,LUX,-,-
2020/2021,A1,Cucine Lube Civitanova,12,DIAMANTINI Enrico,Middleblocker,1993,204,PU,ITA,-,-
2020/2021,A1,Cucine Lube Civitanova,13,SIMON Robertlandy,Middleblocker,1987,208,CUB,CUB,-,-
2020/2021,A1,Cucine Lube Civitanova,15,DE CECCO Luciano,Setter,1988,194,ARG,ARG,-,-
2020/2021,A1,Cucine Lube Civitanova,17,ANZANI Simone,Middleblocker,1992,203,CO,ITA,-,-
2020/2021,A1,Cucine Lube Civitanova,18,FALASCHI Marco,Setter,1987,187,PI,ITA,-,-
2020/2021,A1,Cucine Lube Civitanova,22,HADRAVA Jan,Spiker,1991,198,CZE,CZE,-,-
2020/2021,A1,Cucine Lube Civitanova,23,YANT HERRERA Marlon,Spiker,2001,204,CUB,CUB,-,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,1,POLO Alberto,Middleblocker,1995,202,VI,ITA,-,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,2,RUSSELL Aaron,Spiker,1993,205,USA,USA,-,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,3,IZZO Marco,Setter,1994,195,MS,ITA,-,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,4,SCANFERLA Leonardo,Libero,1998,184,PD,ITA,-,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,5,CANDELLARO Davide,Middleblocker,1989,200,PD,ITA,-,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,7,TONDO Alessandro,Middleblocker,1991,202,LE,ITA,-,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,8,ANTONOV Oleg,Spiker,1988,198,RUS,ITA,-,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,9,GROZER Georg Jr,Spiker,1984,200,HUN,GER,-,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,10,BOTTO Iacopo,Spiker,1987,190,SP,ITA,-,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,13,SHAW James,Spiker,1994,202,USA,USA,until 30/11/2020,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,14,HIERREZUELO Raydel,Setter,1987,196,CUB,CUB,-,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,15,FANULI Fabio,Libero,1985,188,TA,ITA,-,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,17,CLEVENOT Trevor,Spiker,1994,199,FRA,FRA,-,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,21,MOUSAVI Seyed Mohammad,Middleblocker,1987,203,IRI,IRI,from 24/11/2020,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,23,FINGER Michal,Spiker,1993,201,CZE,CZE,from 02/12/2020,-
2020/2021,A1,Gas Sales Bluenergy Piacenza,25,BARANOWICZ Michele,Setter,1989,196,CN,ITA,from 15/10/2020,-
2020/2021,A1,Itas Trentino,2,CORTESIA Lorenzo,Middleblocker,1999,202,TV,ITA,-,-
2020/2021,A1,Itas Trentino,3,ARGENTA Andrea,Spiker,1996,205,VR,ITA,-,-
2020/2021,A1,Itas Trentino,5,MICHIELETTO Alessandro,Spiker,2001,205,BS,ITA,-,-
2020/2021,A1,Itas Trentino,6,SPEROTTO Lorenzo,Setter,1999,190,VE,ITA,-,-
2020/2021,A1,Itas Trentino,7,ROSSINI Salvatore,Libero,1986,184,LT,ITA,-,-
2020/2021,A1,Itas Trentino,8,SANTOS DE SOUZA Ricardo Lucarelli,Spiker,1992,196,BRA,BRA,-,-
2020/2021,A1,Itas Trentino,9,GIANNELLI Simone,Setter,1996,200,BZ,ITA,-,-
2020/2021,A1,Itas Trentino,11,KOOY Dick,Spiker,1987,202,NED,ITA,-,-
2020/2021,A1,Itas Trentino,14,ABDEL-AZIZ Nimir,Spiker,1992,201,NED,NED,-,-
2020/2021,A1,Itas Trentino,16,SOSA SIERRA Luis Tomas,Spiker,1995,196,CUB,CUB,-,-
2020/2021,A1,Itas Trentino,18,PODRASCANIN Marko,Middleblocker,1987,203,SRB,SRB,-,-
2020/2021,A1,Itas Trentino,20,LISINAC Srecko,Middleblocker,1992,205,SRB,SRB,-,-
2020/2021,A1,Itas Trentino,24,DE ANGELIS Carlo,Libero,1996,190,LT,ITA,-,-
2020/2021,A1,Kioene Padova,2,FERRATO Leonardo,Setter,2001,196,PD,ITA,-,-
2020/2021,A1,Kioene Padova,3,GOTTARDO Mattia,Libero,2001,190,PD,ITA,-,-
2020/2021,A1,Kioene Padova,4,MERLO Pietro,Spiker,1999,200,VI,ITA,-,-
2020/2021,A1,Kioene Padova,5,STERN Toncek,Spiker,1995,200,SLO,SLO,-,-
2020/2021,A1,Kioene Padova,6,VITELLI Marco,Middleblocker,1996,202,CH,ITA,-,-
2020/2021,A1,Kioene Padova,7,SHOJI Kawika Tennefos,Setter,1987,190,USA,USA,-,-
2020/2021,A1,Kioene Padova,9,DANANI LA FUENTE Santiago Nicolas,Libero,1995,176,ARG,ESP,-,-
2020/2021,A1,Kioene Padova,10,VOLPATO Marco,Middleblocker,1990,198,VI,ITA,-,-
2020/2021,A1,Kioene Padova,12,BOTTOLO Mattia,Spiker,2000,196,VI,ITA,-,-
2020/2021,A1,Kioene Padova,14,MILAN Sebastiano,Spiker,1995,203,TV,ITA,-,-
2020/2021,A1,Kioene Padova,15,TUSCH Alexander,Setter,1992,189,AUT,AUT,from 03/02/2021,-
2020/2021,A1,Kioene Padova,17,CASARO Nicolò,Spiker,1994,199,PD,ITA,-,-
2020/2021,A1,Kioene Padova,18,CANELLA Andrea,Middleblocker,1998,200,PD,ITA,-,-
2020/2021,A1,Kioene Padova,90,WLODARCZYK Wojciech Julian,Spiker,1990,200,POL,POL,-,-
2020/2021,A1,Kioene Padova,99,FUSARO Francesco,Middleblocker,1999,201,VE,ITA,-,-
2020/2021,A1,Leo Shoes Modena,1,RINALDI Tommaso,Spiker,2001,200,CN,ITA,-,-
